week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",31,431.387096774194,127.009888701459,270.5,280.0,320.0,410.0,537.0,618.0,641.5,0.493198709622506,0.340879804269132,0.031105830334127,0.0636493936181068,0.149708233773708,0.51261305809021,0.845917761325836,0.933057129383087,0.942676991224289,27.3817204301075,3.44484441217714,22.8682648401826,23.0923515981735,24.8337899543379,27.3600456621005,30.0515410958904,31.9219178082192,32.8106164383562,7.0,26.642414365496,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-52)",52,405.5,121.353074239802,256.35,284.1,333.25,375.0,470.25,519.5,599.15,0.426463128972011,0.298226356213029,0.0248595372773707,0.0526868809014559,0.194537047296762,0.356574296951294,0.697494491934776,0.821086287498474,0.917007198929787,27.1836736037935,3.79551770607633,20.9111529680365,22.3453881278539,24.2271689497717,27.3644406392694,29.8337614155251,32.0730707762557,33.1921746575343,16.0,28.9202172835668,6.30760059731013,20.4395003318787,22.0718002319336,23.3818744023641,28.9100494384766,34.9759346008301,36.7859497070313,37.3735246658325
"[-52,-48)",31,416.387096774194,139.365867992455,246.5,295.0,328.0,371.0,499.0,607.0,689.0,0.437974624448426,0.335463862195542,0.0322221196256578,0.0711676329374313,0.157242119312286,0.366610944271088,0.773495703935623,0.935392916202545,0.963375568389893,27.6928855501547,3.90255557910188,21.2586757990868,22.4584474885845,24.5003424657534,28.4640410958904,30.2823059360731,32.1159817351598,33.0022831050228,12.0,24.5641583402952,3.50086152392765,19.6869548797607,21.0382999420166,23.2100744247437,24.407999753952,25.2103252410889,29.3787796020508,30.4683699250221
"[-48,-44)",38,452.973684210526,101.798817717901,326.1,339.7,380.0,434.0,515.25,587.1,643.1,0.567203672406705,0.278908255005261,0.176834326982498,0.191014643013477,0.343082159757614,0.582227230072022,0.805825248360634,0.910971826314926,0.949575683474541,27.9347752944004,4.41979323554247,21.2909132420091,21.5224657534247,23.7128424657534,28.3714611872146,32.0341324200913,32.9002625570776,33.60399543379,14.0,23.3239548319862,2.94819472651824,19.0357321739197,19.5479497909546,20.9637246131897,23.2358746528626,25.2548003196716,26.4856238047282,27.2092222531637
"[-44,-40)",34,450.823529411765,126.974459514439,300.95,310.9,350.5,428.5,542.5,652.6,680.85,0.532532520592213,0.322354678772,0.0937226716428995,0.10551343113184,0.233740635216236,0.553947985172272,0.868850111961365,0.955613851547241,0.971135193109512,27.726702256245,4.63426055363368,21.0956506849315,21.1448287671233,23.5370719178082,28.366894977169,31.4262842465753,33.6185273972603,34.1887214611872,10.0,27.4601963361104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-40,-36)",25,412.4,117.975633077344,271.8,289.8,339.0,378.0,437.0,571.4,641.8,0.432602147608996,0.313318548920306,0.0456166118383408,0.0656579285860062,0.173470869660378,0.357094377279282,0.628589570522308,0.891794860363007,0.948102796077728,27.7088493150685,4.53283458167826,21.8889726027397,22.2390182648402,23.265296803653,27.5462328767123,31.8200913242009,33.6378082191781,33.782100456621,5.0,25.7415868123372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-36,-32)",38,459.394736842105,99.9871720079386,288.6,339.7,406.75,453.5,523.25,591.9,601.65,0.607956229978682,0.270732189766003,0.0707955773919821,0.204971052706242,0.45265493541956,0.682510495185852,0.823634669184685,0.914228338003159,0.921948847174644,27.5853010093728,4.31304648265157,20.8091552511416,21.3697260273973,23.8948915525114,27.6615867579909,31.1011700913242,33.2067808219178,33.6337842465753,13.0,27.1238499665872,6.35341754310978,19.1831596374512,19.5264595031738,22.6781997680664,25.5382995605469,31.4815006256104,35.1955856323242,37.040259552002
"[-32,-28)",44,506.136363636364,89.8594745063778,383.1,409.8,455.5,499.0,549.25,641.6,662.55,0.732368004423651,0.205127107984838,0.379834288358688,0.474147465825081,0.659598842263222,0.775072574615479,0.870558232069016,0.946370142698288,0.957829269766808,27.0605489829805,4.18982160735453,20.2981335616438,21.4415753424658,24.0344748858448,27.4378424657534,30.3606164383562,32.6913584474886,33.3529851598174,17.0,26.7280529807596,5.58682780992522,20.2036998748779,20.5499000549316,23.4933996200562,25.3332996368408,28.6501007080078,35.3790802001953,36.7515411376953
"[-28,-24)",53,547.773584905661,97.723046944971,428.2,439.2,487.0,527.0,622.0,681.0,720.4,0.804584337574131,0.160733197080305,0.546059548854828,0.588503897190094,0.730205655097961,0.834017097949982,0.933022022247314,0.9587886095047,0.970989012718201,27.8255276988025,4.32109746448983,21.071095890411,21.5631278538813,24.1213470319635,28.8206621004566,31.0945205479452,33.2337899543379,34.4410502283105,10.0,24.7941400527954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-24,-20)",51,561.764705882353,111.205141650068,394.0,404.0,493.5,558.0,620.0,715.0,763.0,0.813633493348664,0.179162091270861,0.433140531182289,0.485850751399994,0.773881673812866,0.87898975610733,0.936871975660324,0.972161054611206,0.979936569929123,26.4985540334855,4.38781754456548,20.5061073059361,21.2723744292237,22.7684931506849,25.4972602739726,30.0951484018265,33.2420091324201,33.4484589041096,11.0,27.5501332138524,8.59856310841493,18.8561248779297,20.0795993804932,21.5967502593994,24.2423992156982,32.8151502609253,38.7343502044678,41.4969078699748
